AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
190,69,Viraj Bera,61,M,A2
191,69,Kai Mistry,21,M,A3
192,70,Lakshit Pall,54,M,A1
193,70,Bhavani Raghavan,60,F,A2
194,71,Akshay Mishra,28,M,A1
195,71,Hardik Bhagat,47,M,A2
196,71,Ethan Sandal,44,M,A3
197,71,Samaksh Narula,31,M,A4
198,72,Hema Loyal,47,F,A1
199,73,Netra Ramachandran,64,F,A1
200,73,Benjamin Dhar,48,M,A2
201,73,Ekaraj Basak,45,M,A3
202,73,Veer Mohan,60,M,A4
203,74,Anthony Varty,62,M,A1
204,74,Balveer Dhar,61,M,A2
205,75,Anirudh Gopal,46,M,A1
206,75,Onkar Char,43,M,A2
207,76,Zehaan Pandya,21,M,A1
208,76,Henry Rajagopal,47,M,A2
209,77,Amol Nair,26,M,A1
210,77,Chatura Rama,28,M,A2
211,77,Fitan Karpe,33,M,A3
212,78,Aayush Agarwal,26,M,A1
213,78,Zaid Soni,57,M,A2
214,78,Brinda Bhagat,42,F,A3
215,79,Harshil Goda,41,M,A1
216,79,Tanveer Bala,22,M,A2
217,80,Jai Mangat,35,M,A1
218,80,Luke Khatri,32,M,A2
219,80,Unni Sibal,56,F,A3
220,81,Mohammed Sami,56,M,A1
221,81,Imaran Brahmbhatt,22,M,A2
222,81,Hemang Dey,57,M,A3
223,81,Jack Pandya,59,M,A4
224,82,Jairaj Sekhon,56,M,A1
225,82,Wridesh Keer,57,M,A2
226,83,Pranav Oza,54,M,A1
227,83,Balvan Sami,19,M,A2
228,84,Onkar Saini,21,M,A1
229,85,Ekapad Madan,38,M,A1
230,86,Chakradhar Deshpande,25,M,A1
231,87,Falan Parekh,56,M,A1
232,88,Zashil Thaker,57,M,A1
233,88,Hamsini Jha,19,F,A2
234,88,William Dar,18,M,A3
235,89,Christopher Datta,19,M,A1
236,89,Vivaan Bail,18,M,A2
237,89,Umang Bhardwaj,63,M,A3
238,89,Zaid Grewal,25,M,A4
239,90,Jonathan Oza,51,M,A1
240,90,Wahab Nanda,46,M,A2
241,90,Bakhshi Chauhan,46,M,A3
242,91,Christopher Prakash,22,M,A1
243,91,Yagnesh Kade,51,M,A2
244,92,Ansh De,31,M,A1
245,92,Farhan Ram,20,M,A2
246,92,Nathan Sanghvi,51,M,A3
247,92,Logan Sane,33,M,A4
248,93,Quincy Varghese,24,M,A1
249,94,Chandran Arora,39,M,A1
250,95,Gopal Pal,41,M,A1
251,96,Zayan Soni,62,M,A1
252,97,Ranbir Gupta,57,M,A1
253,98,Warjas Palla,30,M,A1
254,98,Girik Swaminathan,40,M,A2
255,98,Faras Ramachandran,31,M,A3
256,99,George Choudhry,60,M,A1
257,99,Gabriel Keer,50,M,A2
258,99,Finn Varty,23,M,A3
259,100,Yash Krish,28,M,A1
260,100,Sarthak Mohanty,31,M,A2
261,100,Ansh Radhakrishnan,63,M,A3
262,100,Aarav Dada,19,M,A4
263,101,Kiaan Kannan,52,M,A1
264,101,Pooja Sachdev,45,F,A2
265,101,Girindra Nath,34,M,A3
266,101,Gabriel Bora,61,M,A4
267,102,Darpan Trivedi,16,M,A1
268,102,Aarnav Basu,34,M,A2
269,103,Anmol Yogi,44,M,A1
270,103,Gaurav Datta,28,M,A2
271,103,Praneel Keer,56,M,A3
272,103,Fiyaz Basak,38,M,A4
273,104,Praneel Rajagopal,25,M,A1
274,104,Alexander Manne,20,M,A2
275,104,Rehaan Bobal,18,M,A3
276,105,Dalbir Aurora,35,M,A1
277,105,Luke Singhal,45,M,A2
278,105,Karan Shroff,41,M,A3
279,106,Chandresh Dara,52,M,A1
280,106,Gopal Basu,40,M,A2
281,106,Shaurya Naik,50,M,A3
282,107,Saksham Varma,56,M,A1
283,108,Vihaan Sanghvi,41,M,A1
284,108,Gavin Shroff,21,M,A2
285,108,Darsh Samra,47,M,A3
286,109,Jagdish Pall,49,M,A1
287,109,Faraj Mody,54,M,A2
288,109,Abhimanyu Ramesh,30,M,A3
289,110,Dev Sheth,25,M,A1
290,110,Owen Dubey,56,M,A2
291,110,Chaitanya Sane,49,M,A3
292,110,Naksh Sankar,34,M,A4
293,111,Rayaan Yadav,17,M,A1
294,111,Kritika Sibal,31,T,A2
295,111,Joshua Sabharwal,45,M,A3
296,112,Liam Gandhi,29,M,A1
297,113,Aayush Badal,40,M,A1
298,114,Abeer Choudhary,31,M,A1
299,115,Tristan Lall,32,M,A1
300,115,Udarsh Uppal,24,M,A2
301,115,Yash Chatterjee,52,M,A3
302,115,Wazir Khosla,35,M,A4
303,116,Girish Gole,25,M,A1
304,117,Nicholas Kapoor,16,M,A1
305,117,Wridesh Sane,59,M,A2
306,118,Ekavir Kadakia,32,M,A1
307,118,Krish Narayan,37,M,A2
308,119,Dalbir Oommen,40,M,A1
309,119,Daniel Sinha,56,M,A2
310,119,Samaksh Pillay,39,M,A3
311,120,Shivansh Sarkar,64,M,A1
312,120,Ansh Bedi,29,M,A2
313,120,Aditya Panchal,31,M,A3
314,120,Jason Wagle,22,T,A4
315,121,Finn Loyal,51,M,A1
316,121,Jagdish Kale,39,M,A2
317,121,Matthew Trivedi,37,M,A3
318,121,Luke Bhalla,32,M,A4
319,122,Rudra Ramachandran,20,M,A1
320,122,Caleb Nagarajan,41,M,A2
321,123,Parth Vora,55,M,A1
322,123,Aditya Thakur,18,M,A2
323,123,Qasim Tara,22,M,A3
324,123,Victor Narasimhan,55,M,A4
325,124,Hitesh Choudhary,53,M,A1
326,125,Ekanta Hans,22,F,A1
327,125,Avni Yogi,38,F,A2
328,125,Laksh Kunda,19,M,A3
329,125,Nathaniel Babu,61,M,A4
330,126,Hardik Chahal,24,M,A1
331,127,Zehaan Peri,25,M,A1
332,127,Chatura More,57,M,A2
333,127,Isaiah Dyal,51,M,A3
334,128,Logan Naidu,21,M,A1
335,128,Arin Bhatti,55,M,A2
336,129,Udarsh Krish,57,M,A1
337,129,Yagnesh Barad,49,M,A2
338,129,Arunima Sami,35,F,A3
339,129,Gopal Ratti,17,M,A4
340,130,Oscar Menon,39,M,A1
341,131,Benjamin Gour,41,M,A1
342,131,Jackson Brar,18,M,A2
343,132,Garima Rama,65,F,A1
344,132,Wridesh Sidhu,38,M,A2
345,132,Shaurya Acharya,64,M,A3
346,133,Advay Mital,31,M,A1
347,134,Zayyan Saraf,24,M,A1
348,134,Abdul Parsa,24,M,A2
349,134,Saksham Chaudhry,43,M,A3
350,135,Girik Dayal,16,M,A1
351,135,Abhiram Srivastava,63,M,A2
352,136,Zayan Sankar,56,M,A1
353,137,Imaran Patel,20,M,A1
354,137,Advay Tailor,43,M,A2
355,137,Jasmit Hora,27,F,A3
356,137,Hardik Chowdhury,44,M,A4
357,138,Ekalinga Thaker,57,M,A1
358,139,Charvi Varty,57,F,A1
359,139,Darpan Soman,62,M,A2
360,140,Rudra Sankaran,52,M,A1
361,140,Jeremiah Nadig,20,M,A2
362,141,Rayaan Mammen,32,M,A1
363,141,Gabriel Balakrishnan,37,M,A2
364,142,Faraj Nigam,39,M,A1
365,142,Zarna Khosla,44,F,A2
366,142,Abdul Hora,26,M,A3
367,142,Ayushman Sharma,28,M,A4
368,143,Samaksh Korpal,40,M,A1
369,143,Maanav Chatterjee,20,M,A2
370,144,Zehaan Vasa,45,M,A1
371,145,Jackson Mannan,51,M,A1
372,146,Brijesh Grewal,54,M,A1
373,146,Finn Sethi,42,M,A2
374,147,Zehaan Kadakia,53,M,A1
375,147,Arjun Taneja,26,M,A2
376,147,Ekapad Thaker,32,M,A3
377,147,Chaitanya Raju,39,M,A4
378,148,Caleb Swaminathan,41,M,A1
379,149,Champak Dar,58,M,A1
380,149,Isaiah Mane,32,M,A2
381,149,Harita Bera,62,F,A3
382,149,Imaran Sarkar,22,M,A4
383,150,Yahvi Mukhopadhyay,30,F,A1
384,150,Utkarsh Lal,39,M,A2
385,150,Warjas Bhatti,28,M,A3
386,151,Aarnav Badami,21,M,A1
387,151,Akshay Aurora,40,M,A2
388,152,Ishaan Khare,42,M,A1
389,153,Frado Dalal,31,M,A1
390,153,Aditya Kumer,45,M,A2
391,153,Balveer Chander,64,M,A3
392,154,Faris Chopra,37,M,A1
393,154,Balvan Doctor,65,M,A2
394,155,Yatan Din,30,M,A1
395,155,Maanas Krish,26,M,A2
396,156,Shivansh Mani,21,M,A1
397,156,Ranbir Borra,57,M,A2
398,156,Tanay Chaudhary,35,M,A3
399,157,Guneet Jhaveri,32,M,A1
400,158,Nitesh Savant,27,M,A1
401,158,Yagnesh Basu,51,M,A2
402,159,Madhav Varma,56,M,A1
403,160,Daniel Goyal,26,M,A1
404,160,Isaac Kapoor,48,M,A2
405,160,Raghav Palan,26,M,A3
406,160,Darsh Singhal,64,M,A4
407,161,Balendra Deshmukh,32,M,A1
408,161,Saksham Sabharwal,23,M,A2
409,162,Reyansh Dugar,20,M,A1
410,162,Upkaar Bala,30,M,A2
411,162,Raghav Pant,64,M,A3
412,163,Manbir Yohannan,21,M,A1
413,163,Ria Sengupta,32,F,A2
414,163,Nathaniel Shetty,33,M,A3
415,164,Teerth Subramaniam,53,M,A1
416,164,Zehaan Babu,29,M,A2
417,164,Vihaan Nadkarni,35,M,A3
418,165,Samesh Vohra,53,M,A1
419,165,Gopal Kothari,40,M,A2
420,165,Jacob Kapur,30,M,A3
421,165,Liam Sibal,55,M,A4
422,166,Chakradhar Gill,34,M,A1
423,166,Zaid Tella,62,M,A2
424,166,Om Sen,34,M,A3
425,167,Udant Korpal,63,M,A1
426,167,Kalpit Rau,35,M,A2
427,167,Pranit Dugal,27,M,A3
428,168,Victor Kade,61,M,A1
429,168,Bahadurjit Kothari,65,M,A2
430,169,Aarav Natarajan,21,M,A1
431,169,Oliver Trivedi,30,T,A2
432,170,Fitan Dugar,23,M,A1
433,170,Ojas Tata,42,M,A2
434,170,Ikbal Bhakta,20,M,A3
435,170,Zaid Balay,54,M,A4
436,171,Bakhshi Anne,23,M,A1
437,171,Devansh Guha,62,M,A2
438,171,Oscar Manda,50,M,A3
439,171,Michael Memon,55,M,A4
440,172,Yatan Mukherjee,55,M,A1
441,172,Aarav Mangal,35,M,A2
442,173,Widisha Dash,20,F,A1
443,174,Thomas Dutt,28,M,A1
444,174,Nakul Purohit,19,M,A2
445,174,Kabir Jaggi,16,M,A3
446,175,Rachit Batta,57,M,A1
447,175,Charles Sahni,31,M,A2
448,175,Shivani Shah,56,F,A3
449,175,Kiaan Apte,54,M,A4
450,176,Finn Tailor,55,M,A1
451,177,Benjamin Koshy,29,M,A1
452,177,Chandresh Pradhan,30,M,A2
453,177,Panini Sen,43,T,A3
454,178,Azad Bose,55,M,A1
455,178,Dhriti Shetty,16,F,A2
456,178,Aarush Loyal,37,M,A3
457,178,Fariq Bath,29,M,A4
458,179,Balveer Varty,53,M,A1
459,179,Falan Gera,61,M,A2
460,179,Jairaj Cheema,39,M,A3
461,180,Amol Munshi,29,M,A1
462,181,Girish Muni,45,M,A1
463,181,Chatura Chana,49,M,A2
464,181,Jagat Merchant,23,M,A3
465,181,Warhi Kunda,55,F,A4
466,182,Liam Reddy,20,M,A1
467,182,Qabil Mital,45,M,A2
468,182,Brijesh Goswami,38,M,A3
469,182,Harshil Oak,27,M,A4
470,183,Baljiwan Sachdeva,38,M,A1
471,183,Caleb Palla,63,M,A2
472,183,Samaksh Hari,60,M,A3
473,183,Guneet Raja,57,M,A4
474,184,Jackson Vala,44,M,A1
475,184,Mitesh Upadhyay,56,M,A2
476,184,Ojas Bahl,37,M,A3
477,184,Udant Menon,20,M,A4
478,185,Hemang Nanda,39,M,A1
479,185,Nathan Agarwal,65,M,A2
480,185,Caleb Sachdev,58,M,A3
481,186,Jack Rao,55,M,A1
482,186,Vihaan Bahri,28,M,A2
483,186,Teerth Sane,38,M,A3
484,187,Xavier Tripathi,36,M,A1
485,187,Hemang Lanka,36,M,A2
486,187,Mohammed Oommen,20,M,A3
487,188,Laksh Majumdar,45,M,A1
488,188,Laksh Bhattacharyya,21,M,A2
489,188,Janaki Pal,53,F,A3
490,188,Abhiram Lanka,62,M,A4
491,189,Parth Borra,54,M,A1
492,190,Anmol Radhakrishnan,41,M,A1
493,190,Faraj Kurian,51,M,A2
494,191,Qabil Chaudhari,33,M,A1
495,192,Elijah Shah,27,M,A1
496,193,Aryan Banerjee,29,M,A1
497,193,Charles Ghose,23,M,A2
498,193,Meera Keer,60,F,A3
499,194,Warinder Bal,17,M,A1
500,194,Fariq Badal,58,M,A2
501,195,Arjun Chandran,59,M,A1
502,196,Hitesh Khare,56,M,A1
503,196,Jairaj Raman,48,M,A2
504,197,Nathan Kannan,56,M,A1
505,197,Tanish Patel,59,M,A2
506,198,Dipta Choudhry,38,F,A1
507,198,Nandini Chokshi,61,F,A2
508,198,Hitesh Agate,40,M,A3
509,199,Tanay Ghose,58,M,A1
510,199,Daksh Vala,62,M,A2
511,199,Frederick Loyal,26,M,A3
512,199,Dalbir Sachdeva,28,M,A4
513,200,Chaitanya Tak,56,M,A1
514,201,Ryan Das,23,M,A1
515,202,Aayush Swamy,46,M,A1
516,203,Champak Sodhi,50,M,A1
517,203,Falan Khalsa,53,M,A2
518,204,Omisha Das,28,F,A1
519,204,Henry Pathak,62,M,A2
520,205,Benjamin Prakash,28,M,A1
521,205,Patrick Sankaran,49,M,A2
522,206,Victor Devan,55,M,A1
523,206,Peter Bains,53,M,A2
524,206,Akshay Kulkarni,39,M,A3
525,207,Kiaan Sekhon,23,M,A1
526,207,Chakradev Sanghvi,35,M,A2
527,207,Gabriel Brahmbhatt,48,M,A3
528,207,Maanav Mangal,24,M,A4
529,208,Faris Chatterjee,61,M,A1
530,208,Gunbir Prashad,56,M,A2
531,208,Yagnesh Agrawal,34,M,A3
532,208,Tanveer Mane,52,M,A4
533,209,Jack Dhaliwal,46,M,A1
534,209,Ikbal Dewan,23,M,A2
535,209,Jonathan Dutt,50,M,A3
536,209,Harish Sethi,19,M,A4
537,210,Ronith Vala,29,M,A1
538,210,Fariq Oak,25,M,A2
539,210,Charles Memon,49,M,A3
540,211,Ekansh Verma,62,M,A1
541,212,Logan Sood,57,M,A1
542,213,Aarush Mall,30,M,A1
543,213,Viraj Mandal,42,M,A2
544,214,Timothy Samra,20,M,A1
545,214,Hredhaan Mahajan,26,M,A2
546,214,Balvan Aggarwal,47,M,A3
547,215,Veer Mistry,47,M,A1
548,215,Sanya Nagy,26,F,A2
549,215,Parth Kalla,33,M,A3
550,216,Jatin Dave,20,M,A1
551,216,Mason Luthra,47,M,A2
552,217,Liam Prasad,52,M,A1
553,218,Qarin Nagar,30,M,A1
554,219,Umang Subramanian,42,M,A1
555,219,Kevin Tak,16,M,A2
556,219,Darpan Nagy,64,M,A3
557,219,Akshay Sangha,43,M,A4
558,220,Gaurav Pal,62,M,A1
559,221,Charles Sanghvi,32,M,A1
560,221,Girik Bal,58,M,A2
561,222,Gunbir Sen,55,M,A1
562,223,David Lad,65,M,A1
563,223,Wazir Gala,39,M,A2
564,224,Zarna Krishna,41,T,A1
565,224,Tanish Dada,24,M,A2
566,224,Gabriel Venkataraman,27,M,A3
567,225,Aarnav Naidu,40,M,A1
568,225,Ekalinga Behl,57,M,A2
569,225,Gagan Bail,64,M,A3
570,226,Zayan Agrawal,48,M,A1
571,226,Frederick Banik,59,M,A2
572,226,Pranav Goel,43,M,A3
573,227,Aahana Mahal,47,F,A1
574,227,Guneet Pai,25,M,A2
575,228,Yatan Bumb,29,M,A1
576,228,Aryan Dugar,17,M,A2
577,228,Eiravati Apte,54,F,A3
578,228,Nakul Chadha,37,M,A4
579,229,Abhimanyu Ganesh,20,M,A1
580,229,Wriddhish Deshpande,39,M,A2
581,229,Vincent Vala,17,M,A3
582,229,Ojas Krishna,34,M,A4
583,230,Frado Sankar,41,M,A1
584,231,Jack Gokhale,59,M,A1
585,231,Mason Bawa,29,M,A2
586,232,Vivaan Solanki,37,M,A1
587,232,Abeer Kaul,44,M,A2
588,232,Charles Swaminathan,49,M,A3
589,232,Oscar Bawa,63,M,A4
590,233,Nihal Divan,30,M,A1
591,233,Sai Arya,25,F,A2
592,233,Gaurika Bedi,20,F,A3
593,233,Dalbir Parmar,45,M,A4
594,234,Girik Dey,35,M,A1
595,235,Rehaan Bath,28,M,A1
596,235,Vedant Mann,18,M,A2
597,235,Christopher Chauhan,55,M,A3
598,236,Christopher Prakash,28,M,A1
599,236,Jacob Ravi,24,M,A2
600,237,Zashil Suresh,38,M,A1
601,237,Warinder Dass,31,M,A2
602,237,Advaith Cherian,57,M,A3
603,237,Nakul Sandhu,40,M,A4
604,238,Harsh Luthra,52,M,A1
605,239,Ekansh Sathe,55,M,A1
606,239,Yatan Borde,22,M,A2
607,239,Nachiket Gour,27,M,A3
608,239,Neel Sundaram,36,M,A4
609,240,Nidhi Sarna,46,F,A1
610,240,Atharv Basu,49,M,A2
611,240,Chaitanya Chacko,62,M,A3
612,240,Jack Peri,35,M,A4
613,241,Imaran Ratti,24,M,A1
614,241,Priya Dixit,32,F,A2
615,241,Wahab Gola,16,M,A3
616,241,Kiaan Apte,38,M,A4
617,242,Caleb Pradhan,19,M,A1
618,243,Teerth Salvi,20,M,A1
619,244,Christopher Magar,35,M,A1
620,244,Viraj Bhalla,58,M,A2
621,244,Dayamai Bhatt,61,F,A3
622,245,Max Dhingra,18,M,A1
623,245,Daksh Vig,52,M,A2
624,246,Lavanya Contractor,25,F,A1
625,246,Sanya Nanda,52,F,A2
626,247,Daniel Soni,43,M,A1
627,247,Jackson Ramesh,65,M,A2
628,248,Siddharth Mody,59,M,A1
629,248,Liam Kapoor,38,M,A2
630,249,Ikbal Seshadri,17,M,A1
631,249,Advay Acharya,33,M,A2
632,249,Ayush Dada,27,M,A3
633,249,Aarnav Rout,29,M,A4
634,250,Fitan Golla,58,M,A1
635,250,Krishna Keer,35,M,A2
636,251,Rehaan Palan,29,M,A1
637,251,Nirja Buch,52,F,A2
638,252,Yagnesh Tella,19,M,A1
639,252,Nicholas Bhattacharyya,46,M,A2
640,253,Daksh Pal,44,M,A1
641,253,Jagdish Rattan,63,M,A2
642,254,Hredhaan Madan,21,M,A1
643,255,Kabir Walla,37,M,A1
644,255,Akshay Mander,41,M,A2
645,255,Aryan Vohra,61,M,A3
646,255,Bhavya Bandi,16,F,A4
647,256,Sathvik Nanda,39,M,A1
648,256,Charita Wason,40,F,A2
649,256,Girindra Halder,60,M,A3
650,257,Rushil Singhal,28,M,A1
651,258,Robert Rajan,37,M,A1
652,258,Abhiram Khanna,47,M,A2
653,259,Udant Palan,46,M,A1
654,259,Om Bala,30,M,A2
655,260,Liam Bail,48,M,A1
656,260,Ayushman Prashad,36,M,A2
657,260,Christopher Bhandari,60,M,A3
658,261,Timothy Prashad,61,M,A1
659,261,Chandran Badami,46,M,A2
660,261,Finn Bal,41,M,A3
661,261,Omya Kale,60,F,A4
662,262,Maanav Magar,53,M,A1
663,262,Pranav Walia,36,M,A2
664,263,Girindra Chada,29,M,A1
665,264,Teerth Rajan,33,M,A1
666,264,Kabir Korpal,22,M,A2
667,264,Vihaan Uppal,41,M,A3
668,264,Ethan Roy,45,M,A4
669,265,Abhimanyu Singh,26,T,A1
670,265,Jagdish Goda,41,M,A2
671,265,Banjeet Shetty,58,M,A3
672,266,Ikbal Bajaj,60,M,A1
673,266,Darpan Shetty,30,M,A2
674,266,Devansh Krish,61,M,A3
675,266,Nihal Nayak,24,M,A4
676,267,Brijesh Dada,59,M,A1
677,268,Thomas Sheth,41,M,A1
678,268,Chandran Patil,35,M,A2
679,269,Alexander Sengupta,62,M,A1
680,270,Nachiket Date,60,M,A1
681,270,Robert Sidhu,59,M,A2
682,270,Aditya Bhat,63,M,A3
683,270,Ekaraj Pai,36,M,A4
684,271,Samesh Mutti,53,M,A1
685,271,Chakradhar Gour,39,M,A2
686,271,Kabir Misra,29,M,A3
687,272,Matthew Sastry,44,M,A1
688,273,Caleb Raman,26,M,A1
689,273,Joshua Badami,44,M,A2
690,273,Kevin Bala,37,M,A3
691,274,Oliver Mitter,49,M,A1
692,275,Nachiket Sami,39,M,A1
