VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
70,36,Gaurangi Bhakta,31,F,false
71,36,Ishwar Palan,31,M,false
72,37,Neel Bora,14,M,false
73,37,Arjun Dass,8,M,false
74,38,Dominic Narain,6,M,false
75,38,Akshay Sura,17,M,false
76,38,Qadim Parikh,81,M,false
77,39,Zaid Bhagat,74,M,false
78,40,Atharv Mahajan,57,M,false
79,40,Forum Mistry,18,F,true
80,41,Shravya Mody,45,F,false
81,41,Chaaya Dugar,80,F,false
82,42,Ria Chahal,27,F,false
83,42,Naveen Kaul,19,M,false
84,42,Xavier Varughese,13,M,false
85,43,Chandani Krish,61,F,false
86,43,Aishani Palla,19,F,false
87,43,Mohammed Kumar,85,M,false
88,44,Wahab Choudhary,71,M,false
89,45,Yuvraj Murthy,37,M,false
90,45,Yadavi Dara,64,F,false
91,45,Upma Kashyap,38,F,false
92,46,Dominic Mall,33,M,false
93,47,Jason Badal,39,M,false
94,48,Dipta Roy,77,F,false
95,48,Bishakha Yadav,77,F,false
96,49,Tarak Khanna,56,M,false
97,50,Dominic Andra,30,M,false
98,50,Veer Sarin,3,M,false
99,51,Nirja Barman,8,F,true
100,51,Ganga Bhakta,70,F,false
101,52,Sanya Tella,31,F,false
102,52,Ucchal Sehgal,36,F,false
103,53,Brinda Mohan,68,F,false
104,53,Janaki Sami,45,F,false
105,53,Yashawini Basak,10,F,true
106,54,Darika Basu,74,F,false
107,54,Lucky Sahni,43,M,false
108,54,Arya Kalita,7,F,false
109,55,Xavier Varghese,30,M,false
110,55,Hemang Barad,23,M,false
111,56,Rohan Contractor,59,M,false
112,56,Jairaj Virk,28,M,true
113,56,Tanvi Trivedi,46,F,false
114,57,Qushi Chakrabarti,40,F,false
115,57,Ucchal Bath,73,F,false
116,58,Andrew Raj,31,M,false
117,58,Ryan Yadav,82,M,false
118,58,Ranveer Srinivas,16,M,false
119,59,Zaitra Banerjee,5,F,false
120,59,Wakeeta Dugal,67,F,false
121,60,Farhan Agarwal,28,M,false
122,60,Mohini Sem,38,F,false
123,60,Inaya Shanker,81,F,false
124,61,Patrick Salvi,79,M,false
125,61,Aditya Shukla,47,M,false
126,62,Akshay Walla,60,M,false
127,63,Aryan Ratta,30,M,false
128,64,Yoshita Prabhu,7,F,false
129,64,Lakshmi Pal,44,F,false
130,64,Ishani Sabharwal,62,F,false
131,65,Chaaya Lad,46,F,false
132,65,Wridesh Lall,28,M,false
133,65,Teerth Raghavan,32,M,false
134,66,Umang Pradhan,53,M,false
135,66,Om Swamy,58,M,false
136,66,Chaman Sandal,75,F,false
137,67,Peter Sankar,83,M,false
138,68,Pushti Pau,58,F,false
139,68,Ishita Mitter,38,F,false
140,68,Chanchal Thakur,69,F,false
141,69,Theodore Kadakia,40,M,false
142,69,Abhiram Bali,80,M,false
143,70,Priya Wadhwa,19,F,false
144,71,Upadhriti Narula,36,F,false
145,71,Kashvi Singh,52,F,false
146,71,Warda Khurana,64,F,false
147,72,Harish Chaudhary,75,M,false
148,72,Yug Srivastava,1,M,false
149,72,Gaurika Sagar,34,F,false
150,73,Ria Mandal,55,F,false
151,73,Ganga Arora,34,F,false
152,74,Eshana Lala,61,F,false
153,74,Ekantika Prasad,42,F,false
154,75,Om Nagi,68,M,false
155,75,Ayush Oommen,38,M,false
156,75,Amol Tripathi,58,M,false
157,76,Hemang Tandon,72,M,false
158,76,Vasudha Khalsa,43,F,false
159,77,Ekansh Mukherjee,35,M,false
160,77,Chanakya Ramanathan,56,M,false
161,77,Abeer Jain,7,M,false
162,78,Jeet Vora,71,M,false
163,79,Ayushman Bala,22,M,false
164,80,Chaaya Manne,43,F,false
165,81,Nirja Dugar,15,F,false
166,81,Jeevika Badami,64,F,false
167,81,Maya Cherian,57,F,false
168,82,Triveni Murthy,74,F,false
169,82,Triveni Ram,39,F,false
170,83,Yashvi Taneja,62,F,false
171,83,Rachita Chaudhry,28,F,false
172,84,Farhan Dhillon,2,M,false
173,84,Faras Sethi,73,M,false
174,85,Saksham Bhalla,52,M,false
175,86,Fitan Datta,40,M,false
176,87,Anirudh Dayal,19,M,false
177,87,Mekhala Barad,10,F,false
178,88,Rayaan Sidhu,24,M,false
179,88,Dalaja Gour,77,F,false
180,88,Chaaya Pillay,55,F,false
181,89,Karan Chaudry,45,M,false
182,89,Yashica Arora,4,F,false
183,89,Bhavya Sachar,40,F,false
184,90,Upasna Bassi,72,F,false
185,91,Hemangini Kalla,15,F,false
186,92,Widisha Vyas,4,F,false
187,92,Manya Sunder,40,F,false
188,93,Rayaan Hari,31,M,false
189,93,Chakrika Narain,20,F,false
190,93,Warjas Raman,58,M,false
191,94,Megha Mitter,74,F,true
192,94,Garima Aurora,32,F,false
193,95,Fariq Lad,68,M,true
194,95,Ladli Yadav,24,F,false
195,96,Ikshita Bobal,24,F,false
196,96,Vihaan Keer,34,M,false
197,97,Balvan Mital,32,M,false
198,98,Ansh Kara,50,M,false
199,99,Christopher Walia,16,M,false
200,100,Faraj Rai,5,M,false
201,101,Divya Lall,70,F,false
202,102,Kritika Rege,50,F,false
203,102,Sanaya Chada,55,F,false
204,102,Kevin Sha,25,M,false
205,103,Zashil Dash,17,M,false
206,103,Dev Murty,44,M,false
207,104,Ekbal Modi,7,M,false
208,104,Samarth Kakar,31,M,false
209,104,Bhavika Bath,17,F,false
210,105,Lekha Brar,82,F,false
211,105,Chakradhar Hora,40,M,false
212,105,Charles Choudhry,35,M,false
213,106,Nachiket Andra,21,M,false
214,106,Chaman Kata,75,F,false
215,107,Nisha D’Alia,6,F,false
216,107,Aarav Mukherjee,46,M,false
217,108,Varenya Barad,15,F,false
218,109,Sarthak Agarwal,77,M,false
219,109,Arjun Raju,54,M,false
220,109,Chandresh Minhas,16,M,false
221,110,Hitesh Biswas,15,M,false
222,110,Hardik Cheema,38,M,false
223,110,Raagini Ramakrishnan,30,F,false
224,111,Nakul Som,13,M,true
225,112,Ganga Shankar,26,F,false
226,112,Vrishti Luthra,32,F,false
227,113,Utkarsh Loyal,21,M,false
228,113,Indrajit Kala,68,M,false
229,113,Kevin Kuruvilla,38,M,false
230,114,Aarav Karpe,79,M,false
231,114,Damyanti Karnik,3,F,false
232,115,Maanas Chakraborty,82,M,false
233,115,Tanmayi Mital,46,F,false
234,116,Aarnav Rajan,9,M,false
235,116,Isaac Ganesh,72,M,false
236,116,Umang Panchal,6,M,false
237,117,Bhavini Bath,45,F,false
238,117,Yash Ranganathan,79,M,false
239,118,Caleb Bansal,35,M,false
240,118,Agastya Walla,84,M,false
241,119,Ojas Merchant,17,M,false
242,120,Champak Gandhi,77,M,false
243,121,Jeevika Randhawa,66,F,false
244,122,Sara Mani,69,F,false
245,122,Azaan Mand,9,M,false
246,123,Maanav Verma,5,M,false
247,124,Vincent Mital,16,M,false
248,124,Laban Trivedi,26,M,false
249,124,Bakhshi Sibal,42,M,false
250,125,Krishna Ravi,41,F,false
251,125,Amaira Bera,18,F,false
252,126,Vivaan Agrawal,69,M,false
253,127,Tristan Sunder,81,M,false
254,127,Wridesh Munshi,51,M,false
255,128,Hardik Jaggi,9,M,false
256,129,Sachi Wable,40,T,false
257,129,Dayamai Borah,1,F,false
258,130,Chatresh Sampath,14,M,false
259,131,Andrew Mall,16,M,false
260,131,Harinakshi Chander,47,F,false
261,131,Luke Memon,76,M,false
262,132,Rachana Natt,45,F,false
263,132,Vanya Mammen,42,F,false
264,132,Jack Kaul,68,M,false
265,133,Tanvi Oommen,66,F,false
266,133,Gaurika Karnik,61,F,false
267,134,Wakeeta Bala,83,F,false
268,134,Jackson Parsa,9,M,false
269,135,Aadi Bhakta,66,M,false
270,135,Gautam Rajagopalan,57,M,false
271,135,Owen Kala,52,M,false
272,136,Dayita Sridhar,40,F,false
273,136,Kamya Chawla,24,F,false
274,137,Hritik Mitter,27,M,false
275,137,Mohammed Mahajan,60,T,false
276,137,Max Hayre,19,T,false
277,138,Zansi Puri,85,F,false
278,138,Jairaj Dube,54,M,false
279,138,Rishi Setty,58,M,false
280,139,Kalpit Brar,52,M,false
281,139,Laksh Iyer,34,M,false
282,140,Warda Ramakrishnan,19,F,false
283,140,Anay Sani,3,M,false
284,140,Qadim Patla,56,M,false
285,141,William Karnik,44,M,false
286,141,Vihaan Dass,67,M,false
287,141,Divya Rama,72,F,false
288,142,Omkaar Bakshi,39,M,false
289,143,Ijaya Prabhakar,39,F,true
290,144,Ronith Mittal,40,M,false
291,144,Ishita Warrior,82,F,false
292,145,Abhimanyu Chaudry,72,M,false
293,145,Omisha Patel,45,F,false
294,145,Aarnav Kashyap,77,M,false
295,146,Ladli Deo,70,F,false
296,146,Chandran Zachariah,65,M,false
297,147,Sneha Dora,76,F,false
298,147,Oeshi Date,13,F,false
299,147,Nitesh Bajwa,34,M,false
300,148,Robert Bera,27,M,false
301,148,Arjun Buch,74,M,false
302,149,Ayaan Chacko,60,M,false
303,149,Unnati Borah,48,F,false
304,150,Bimala Sharaf,23,F,false
305,151,Kai Krishnan,57,M,false
306,151,Ekiya Chahal,57,F,false
307,152,Aachal Batta,79,F,false
308,153,Inaya Wali,36,F,false
309,154,Riya Behl,79,F,false
310,154,Waida Datta,20,F,false
311,155,Ikbal Borah,9,M,false
312,155,Kevin Lala,29,M,false
313,155,Xiti Shukla,40,F,false
314,156,Samuel Patil,80,M,false
315,156,Ubika Boase,76,F,false
316,156,Dev Bora,34,M,false
317,157,Ekaraj Bail,75,M,false
318,158,Hredhaan Bumb,14,M,false
319,159,Maanas Dara,44,M,false
320,159,Rehaan Bhatnagar,56,M,false
321,159,Amrita Dugal,12,F,false
322,160,Triveni Lala,63,F,false
323,160,Tejas Khare,67,M,false
324,161,Yashica Gulati,8,F,false
325,161,Bhavini Sachdev,60,F,false
326,162,Urishilla Mahal,59,F,false
327,162,Keya Din,80,F,false
328,163,Bhavna Kari,33,F,false
329,164,Onveer Dey,58,M,false
330,164,Sai Sha,50,M,false
331,165,Harita Rai,10,F,false
332,165,Vihaan Lad,51,M,false
333,165,Fitan Grewal,65,M,false
334,166,George Sachdeva,12,M,false
335,166,Leela Mitra,14,F,false
336,166,Kritika Sanghvi,40,F,false
337,167,Yashica Chowdhury,17,F,false
338,168,Baljiwan More,20,M,false
339,168,Indrajit Batra,68,M,false
340,168,Kabir Bajwa,4,M,false
341,169,Naveen Tata,11,M,false
342,169,Brijesh Nath,84,M,false
343,169,Priya Bhalla,5,F,false
344,170,Fiyaz Subramaniam,39,M,false
345,171,Ati Garg,72,F,false
346,171,Chavvi Doshi,80,F,true
347,171,Kiaan Ramakrishnan,12,M,false
348,172,Vinaya Ganguly,22,F,false
349,172,Samuel Gokhale,16,M,false
350,172,Siya Bajaj,22,F,false
351,173,Eta Gupta,46,F,false
352,173,Yashoda Mishra,26,F,false
353,173,Aarush Gill,6,M,false
354,174,Orinder Suri,58,M,false
355,174,Jhalak Shah,82,F,false
356,175,Rachita Suresh,23,F,false
357,175,Oscar Bir,27,M,false
358,175,Lakshmi Seth,77,F,false
359,176,Chaman Borah,1,F,false
360,176,Wakeeta Kalita,14,F,false
361,176,Vedant Arora,46,M,false
362,177,Zarna Sandal,75,F,false
363,177,Raagini Ramaswamy,73,F,false
364,178,Upasna Chawla,60,F,false
365,178,Gaurika Patla,35,F,true
366,178,Gaurika Jha,79,F,false
367,179,Amruta Atwal,54,F,true
368,179,Radhika Rao,37,F,false
369,179,Anamika Trivedi,31,F,false
370,180,Geetika Krishnan,43,F,false
371,180,Viraj Kapoor,8,M,false
372,181,Christopher Baral,58,M,false
373,182,Yutika Vohra,83,F,false
374,182,Benjamin Garg,65,M,false
375,183,Ishwar Sane,35,M,false
376,183,Maanav Palla,56,M,false
377,184,Hiral Agate,70,F,false
378,184,Ekalinga Ahuja,82,M,false
379,185,Vanya Bajaj,30,F,false
380,185,Ekantika Singhal,33,F,false
381,185,Bakhshi Sarkar,48,M,false
382,186,Yash Sani,64,M,false
383,186,Rudra Narain,64,M,false
384,186,Farhan Narang,65,M,false
385,187,Noah Chand,73,M,false
386,187,Aditya Patla,67,M,false
387,188,Amol Varghese,23,M,false
388,188,Max Yogi,4,M,false
389,189,Eesha Dave,54,F,false
390,190,Gabriel Johal,15,M,false
391,190,Abeer Kadakia,10,M,false
392,190,Abdul Seth,47,M,false
393,191,Eiravati Khosla,7,F,false
394,192,Anjali Dube,59,F,false
395,192,Aarav Gupta,19,M,false
396,193,Ekavir Maharaj,20,M,false
397,193,Vedant Narayanan,19,M,false
398,194,Dakshesh Saran,3,M,false
399,194,Amruta Choudhury,28,F,false
400,194,Rudra Kant,18,M,false
401,195,Siddharth Sandhu,37,M,false
402,195,Vrishti Mody,55,F,false
403,196,Jeet Jhaveri,43,M,false
404,196,Joshua Prakash,11,M,false
405,197,Jonathan Bhatt,17,M,false
406,197,Saumya Chaudhary,16,F,false
407,198,Shivani Lalla,22,F,false
408,199,Aarnav Balasubramanian,47,M,false
409,200,Maanav Narula,11,M,false
410,200,Daksha Narayan,46,F,false
411,201,Wishi Ray,7,F,false
412,201,Ekbal Sachar,81,M,false
413,202,Aarav Dayal,65,M,false
414,203,Chasmum Dani,24,F,false
415,203,Abeer Nadkarni,45,T,false
416,204,Tanvi Sagar,52,F,false
417,205,Indali Das,63,F,false
418,205,Gautami Narula,17,F,false
419,206,Fariq Konda,62,M,false
420,206,Ekalinga Bava,17,M,false
421,207,Zayan Hans,26,M,false
422,207,Tristan Modi,85,M,false
423,207,Pushti Madan,4,F,false
424,208,Niharika Taneja,4,F,false
425,209,Harita Oak,15,F,false
426,209,Qabil Batra,10,M,false
427,210,Caleb D’Alia,17,M,false
428,210,Fariq Nair,24,M,false
429,211,Zehaan Saran,21,M,false
430,211,Vincent Sehgal,54,M,false
431,211,Suhani Baria,55,F,false
432,212,Benjamin Saxena,34,M,false
433,212,Aditya Khanna,60,M,false
434,213,Lakshmi Parmer,84,F,false
435,214,Warinder Dalal,57,M,false
436,214,Bahadurjit More,73,M,false
437,215,Hemal Kannan,37,F,false
438,216,Omya Merchant,5,F,false
439,217,Gautam Bath,32,M,false
440,217,Patrick Ray,16,M,false
441,217,Naveen Saxena,29,M,false
442,218,Chaitanya Chhabra,10,M,false
443,219,Udarsh Kapoor,52,M,false
444,219,Niharika Narula,69,F,false
445,219,Samesh Dhar,85,M,false
446,220,Jeremiah Nair,68,M,false
447,220,Chameli Ramachandran,81,F,false
448,220,Pranav Wali,56,M,false
449,221,Anirudh Chopra,46,M,false
450,222,Fiyaz Golla,49,M,false
451,223,Harshil Jaggi,35,M,false
452,223,Raghav Bhat,38,M,false
453,224,Yasti Hayre,70,F,false
454,224,Vasudha Sant,77,F,false
455,224,Eiravati Tripathi,46,F,true
456,225,Aarini Tandon,2,F,false
457,226,Robert Cherian,60,M,false
458,227,Jatin Srinivas,84,M,false
459,227,Viraj Cheema,75,M,false
460,228,Shravya Bava,55,F,false
461,229,Hitesh Verma,36,M,false
462,230,Yochana Pandit,51,F,false
463,230,Yashvi Pau,21,F,false
464,231,Charles Kuruvilla,79,M,false
465,231,Vinaya Randhawa,45,F,true
466,232,Atharv Anand,81,M,false
467,233,Vrinda Khalsa,50,F,false
468,233,Lucky Mishra,33,M,false
469,233,Naksh Shere,68,M,false
470,234,Mohammed Malhotra,41,M,false
471,234,Anthony Seth,35,M,false
472,235,Frederick Sandhu,11,M,false
473,235,Reyansh Oza,83,M,false
474,236,Jack Mishra,41,M,false
475,237,Peter Chopra,21,M,false
476,238,Amruta Lad,60,F,false
477,239,Onkar Varma,26,M,false
478,239,Nitesh Bhagat,4,M,false
479,239,Upadhriti Patla,35,F,false
480,240,Umang Tripathi,20,M,false
481,240,Yuvraj Narayan,85,M,false
482,240,Ekbal Radhakrishnan,19,T,false
483,241,Zansi More,48,F,false
484,241,Michael Barad,46,M,false
485,242,Jagrati Bhandari,61,F,false
486,242,Chandran Shukla,31,M,false
487,243,Sara Chandra,24,F,false
488,244,Nakul Bal,23,M,false
489,244,Yatan Trivedi,71,M,false
490,244,Rishi Dugar,7,M,false
491,245,Girish Hora,76,M,false
492,245,Lohit Arya,44,M,false
493,245,Ijaya Rege,71,F,false
494,246,Dhruv Nath,77,M,false
495,246,Idika Kapur,47,F,false
496,246,Ekantika Ramaswamy,18,F,false
497,247,Guneet Dutt,14,M,false
498,247,Kashish Murthy,76,F,false
499,247,Daniel Mane,9,M,false
500,248,Garima Lala,35,F,false
501,248,Girindra Dey,46,M,false
502,248,Jason Loyal,17,M,false
503,249,Widisha Borde,26,F,false
504,249,Simon Narayan,65,M,false
505,250,Jairaj Parikh,22,M,false
506,251,Raksha Padmanabhan,33,F,false
507,251,Anvi Dixit,75,F,false
508,251,Anusha Roy,64,F,false
509,252,Wahab Krishnamurthy,2,M,false
510,252,Gunbir Sahota,2,M,false
511,253,Kevin Patel,70,M,false
512,253,Vrinda Ramanathan,37,F,false
513,253,Fariq Chokshi,40,M,true
514,254,Charita Divan,49,F,false
515,255,Advika Sahota,61,F,false
516,255,Amruta Sarma,13,F,false
517,256,Charan Dube,84,M,false
518,256,Falguni Khalsa,80,F,false
519,257,Qabil Raju,53,M,false
520,257,Lucky Saini,40,M,false
521,257,Kritika Agrawal,67,F,false
522,258,Qasim Pingle,65,M,false
523,259,Onkar Natarajan,18,M,false
524,259,Edhitha Reddy,40,F,false
525,259,Ojas Sangha,29,M,false
526,260,Zaid Tara,58,M,false
527,260,Nimrat Kalita,34,F,false
528,260,Ekantika Sura,47,F,false
529,261,Inaya Bhatia,11,F,false
530,261,Samesh Banik,81,M,false
531,262,Yoshita Gokhale,56,F,false
532,263,Sudiksha Purohit,20,F,false
533,263,Simon Badal,45,M,false
534,263,George Doctor,47,M,false
535,264,Vamakshi Prasad,20,F,false
536,265,Alka Rattan,62,F,false
537,265,Vasudha Barad,66,F,false
538,266,Vedhika Bajwa,48,F,false
539,267,Panini Chokshi,50,F,false
540,268,Anirudh Bhalla,14,M,false
541,268,Ishita Krishnan,53,F,false
542,268,Anamika Shankar,68,F,false
543,269,Vyanjana Gade,70,F,false
544,270,Rayaan Gopal,74,M,false
545,270,Indali Khanna,70,F,false
546,271,Balhaar Dugar,40,M,false
547,271,Falak Chowdhury,19,F,false
548,272,Pahal Kapur,22,F,false
549,273,Wriddhish Chada,8,M,false
550,273,Gabriel Sahni,47,M,false
551,274,Baghyawati Dass,51,F,false
552,274,Jackson Sheth,6,M,false
553,275,Logan Gopal,30,M,false
554,275,Avni Mutti,12,F,false
555,275,Ojasvi Swaminathan,66,F,false
556,276,Fiyaz Dhillon,23,M,false
557,277,Sudiksha Hari,84,F,false
558,277,Fariq Vasa,71,M,false
559,277,Fariq Ganesh,9,T,false
560,278,Avi Manne,75,M,false
561,278,Triya Saini,19,F,true
562,278,Zayan Naik,5,M,false
563,279,Lopa Swaminathan,40,F,false
564,280,Abha Saha,69,F,false
565,280,Tanay Lanka,29,M,false
566,281,Garima Kurian,22,F,false
567,281,Gaurang Pathak,63,M,false
568,281,Ikbal Sethi,34,M,false
569,282,Jeremiah Singh,40,M,false
570,282,Leena Atwal,38,F,false
571,282,Aadhya Mahajan,28,F,false
572,283,Eesha Srinivas,28,T,false
573,284,Veer Bera,62,M,false
574,285,Caleb Dhar,74,M,false
575,286,Faraj Mohan,8,M,false
576,286,Ryan Vig,22,M,false
577,286,Ekanta Vala,65,F,false
578,287,Suhani Bobal,10,F,false
579,287,Kabir Dar,54,M,false
580,288,Amara Agarwal,45,F,false
581,288,Indira Tailor,55,F,false
582,288,Simon Bandi,4,M,false
583,289,Rishi Rao,46,M,false
584,289,Harrison Borde,80,M,false
585,290,Saanvi Mody,63,F,false
586,291,Raksha Bhatt,45,F,false
587,292,Vidhi Viswanathan,28,F,false
588,292,David Ghosh,5,M,false
589,292,Ekalinga Patel,21,M,false
590,293,Rachit Madan,22,M,false
591,293,Ryan Badami,31,M,false
592,294,Brijesh Lal,81,M,false
593,294,Thomas Agate,9,M,false
594,294,Warinder Agarwal,45,M,false
595,295,Xavier Chauhan,3,M,false
596,296,Frederick Baral,8,M,false
597,296,Vinaya Chauhan,41,F,false
598,296,Vrishti Mangal,18,F,false
599,297,Lucky Kara,43,M,false
600,298,Unnati Pradhan,59,F,false
601,298,Ranveer Sethi,19,M,false
602,299,Nandini Sachar,65,F,false
603,300,Avi Narang,21,M,false
604,300,Chandani Banerjee,28,F,false
605,301,Atharv Singh,74,M,false
606,302,Damyanti Taneja,61,F,false
607,302,Akshay Goda,59,M,false
608,303,Quincy Bava,1,M,false
609,303,Priya Mani,22,F,false
610,304,Finn Karpe,18,M,false
611,304,Amol Bumb,57,M,false
612,304,Harini Singhal,23,F,false
613,305,Vritti Luthra,20,F,false
614,305,Osha Karpe,6,F,false
615,306,Naveen Seth,25,M,false
616,307,Lakshmi Ganesh,82,F,false
617,308,Forum Rajagopal,40,F,false
618,309,Fitan Bhalla,36,M,false
619,309,Benjamin Ravel,45,M,false
620,309,Dayita Palla,81,F,false
621,310,Urvi Manne,57,F,false
622,310,Qadim Chander,40,M,false
623,310,Jagdish Shanker,30,M,false
624,311,Tristan Sampath,19,M,false
625,311,Udarsh Raghavan,48,M,false
626,311,Riya Agrawal,45,F,false
627,312,Onveer Taneja,6,M,false
628,312,Vasudha Mitra,2,F,false
629,312,Radhika Verma,22,F,false
630,313,Rohan Varty,2,M,false
631,313,Mahika Mahajan,82,F,false
632,313,Yasti Bhardwaj,6,F,false
633,314,Om Thakur,40,M,false
634,314,Harinakshi Mander,51,F,false
635,315,Pranav Sawhney,33,M,false
636,315,Libni Narayanan,48,F,false
637,316,Tejas Kadakia,81,M,false
638,316,Kai Prakash,19,M,false
639,316,Nitara Dhillon,27,F,true
640,317,Darika Chatterjee,12,F,false
641,317,Chakradev Bhandari,33,M,false
642,317,Bimala Warrior,62,F,false
643,318,Tripti Samra,39,F,false
644,318,Janya Gandhi,72,F,false
645,318,Keya Parikh,36,F,false
646,319,Dhriti Tella,23,F,false
647,319,Atharv Setty,83,M,false
648,320,Mahika Wali,68,F,false
649,321,Anusha Dugal,34,F,false
650,321,Omya Lanka,47,T,false
651,321,Prisha Tandon,66,F,false
652,322,Aayush Natt,12,M,false
653,322,Neelima Gade,48,F,false
654,323,Harsh Dhaliwal,23,T,false
655,323,Megha Singhal,61,F,false
656,323,Meera Sekhon,53,F,false
657,324,Sanya Ahluwalia,85,F,false
658,324,Harita Kota,71,F,false
659,325,Charles Subramaniam,29,M,false
660,325,Warjas Gole,24,M,false
661,325,Karan Sani,15,M,false
662,326,Veer Goswami,39,M,false
663,326,Pahal Wason,26,F,false
664,326,Krishna Padmanabhan,37,M,false
665,327,Gautam Sampath,8,M,false
666,327,Upadhriti Thakur,37,F,false
667,327,Vihaan Singhal,2,M,false
668,328,Manan Mallick,15,M,false
669,329,Kai Seth,74,M,false
670,329,Bakhshi Keer,13,M,false
671,330,Aahana D’Alia,24,F,true
672,331,Hredhaan Sagar,7,M,false
673,332,Nitesh Saran,36,M,false
674,333,Vasana Natarajan,6,F,false
675,334,Ishita Krishnamurthy,70,F,false
676,334,Kritika Varty,21,F,false
677,334,Christopher Dua,55,M,false
678,335,Luke Menon,6,M,false
679,335,Jairaj Sami,43,M,false
680,336,Samar Dani,9,M,false
681,337,Pranit Rout,12,M,false
682,337,Ekanta Deo,53,F,false
683,338,Bhavani Shroff,26,F,false
684,338,Shaurya Nayak,6,M,false
685,338,Alexander Mutti,68,M,false
686,339,Dalaja Radhakrishnan,73,F,false
687,339,Dominic De,27,M,false
688,339,Mason Khurana,28,M,false
689,340,Avni Kala,12,F,false
690,340,Gaurang Swamy,44,M,false
691,341,Triveni Edwin,51,F,false
692,341,Manthan Shan,79,M,false
693,342,Ubika Guha,35,F,false
694,342,Damini De,69,F,false
695,342,Jagrati Atwal,6,F,false
696,343,Idika Sura,23,F,false
697,343,Rudra Saha,55,M,false
698,344,Nathaniel Misra,77,M,false
699,344,Yashodhara Narula,21,F,false
700,345,Raghav Kata,4,M,false
701,345,Upma Nanda,59,F,false
702,345,Balveer Virk,75,M,false
703,346,Fitan Vig,49,M,false
704,346,Omkaar Dewan,44,M,false
705,346,Harinakshi Virk,40,F,false
706,347,Tarak Barman,50,M,false
707,347,Laban Ramakrishnan,68,M,false
708,348,Harita Yadav,10,F,false
709,349,Luke Sen,31,M,true
710,349,Omya Dube,65,F,false
711,350,Keya Buch,35,F,false
712,350,Fiyaz Zachariah,47,M,false
713,351,Chandani Ganesh,11,F,false
714,351,Fariq Badal,17,M,false
715,351,Tarak Raj,46,M,false
716,352,Manan Date,1,M,false
717,352,Wridesh Ramachandran,51,M,false
718,353,Tanay Nigam,72,M,false
719,354,Warinder Dhawan,19,M,false
720,355,Ranbir Balakrishnan,55,M,false
721,355,Falan Ahuja,79,M,false
722,355,Vanya Kara,62,F,false
723,356,Theodore Buch,18,M,false
724,357,Samar Gopal,28,M,false
725,358,Indrajit Lata,4,M,false
726,358,Raksha Srinivasan,29,F,false
727,358,Onveer Sandal,59,M,false
728,359,Gopal Dayal,15,M,false
729,359,Zaid Bansal,75,M,false
